,Nama,Alamat,Lat,Lng,Rating,User Rating
44,Alfamart,"Jl. KH Agus Salim No.44 Rt 03/09, Kepek I, Kepek, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813, Indonesia",-7.962149999999999,110.59711,4.1,34
45,Alfamart Wiladeg,"Dusun Kerdon, RT.03/RW.03, Wiladeg, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891, Indonesia",-7.956956,110.6457511,4.4,24
46,Alfamart,"Jl. Nglipar-Ngawen, RT.04/RW.02, Kp. Kidul, Kampung Kidul, Kec. Ngawen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55853, Indonesia",-7.8386042,110.6994563,4.1,100
47,Alfamart,"Nglipar Lor, RT.05/RW.03, Ngliper Lor, Nglipar, Kec. Nglipar, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55852, Indonesia",-7.882484,110.6201229,4.7,12
48,Alfamart,"Trowono B, Karangasem, Paliyan, Gunung Kidul Regency, Special Region of Yogyakarta 55871, Indonesia",-8.0460016,110.520288,4.1,430
49,Alfamart Semin,"Jl. Raya Semin, RT.02/RW.01, Semin, Kec. Semin, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55854, Indonesia",-7.86565,110.73535,3.9,19
50,Alfamart,"Tahunan, RT.04/RW.04, Keringan Lor, Bulurejo, Kec. Semin, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55854, Indonesia",-7.8534754,110.7366699,4.3,27
51,Alfamart,"2MXG+4JH, Jl. Karangmojo, RT.04/RW.02, Karangmojo, Kec. Karangmojo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55891, Indonesia",-7.952713900000001,110.6782299,4.2,106
52,Alfamart,"Jl. Raya Tepus, Dusun Bintaos, Rt.01, RW.02, Bintaos, Sidoharjo, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881, Indonesia",-8.0874354,110.627274,4.6,23
53,Alfamart Playen,"3HM4+4MW, Gading I, Gading, Kec. Playen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55861, Indonesia",-7.9171546,110.5567495,4.6,27
54,Alfamart,"Jl. Munggi Ps., RT.06/RW.32, Munggi Ps., Semanu, Kec. Semanu, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55893, Indonesia",-7.9965213,110.6492525,4.3,27
55,Alfamart Baron KM.4,"2H3V+P5X, Jl. Baron, Dungabah II, Duwet, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851, Indonesia",-7.995649,110.5929872,4.4,279
56,Alfamart Mgr. Soegijapranoto,"Jl. Mgr. Soegijapranata, RT.10/RW.04, Purwosari, Baleharjo, Wonosari, Gunung Kidul Regency, Special Region of Yogyakarta 55811, Indonesia",-7.972847400000001,110.6077374,3.9,21
57,Alfamart Rongkop,"Jl. Raya Rongkop Rt. 01 Rw. 07 Ds. Kredomiri, Baran Wetan, Semugih, Kec. Rongkop, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55883, Indonesia",-8.0810504,110.7633055,4.2,95
58,ALFAMART,"3H4J+75X, National Rte 3, Siyono Tengah, Logandeng, Playen, Gunung Kidul Regency, Special Region of Yogyakarta 55861, Indonesia",-7.9442713,110.580545,5.0,1
59,Alfamart Pantai Parangtritis,"Jl. Pantai Parangtritis Xi No.Rt.04, Mancingan, Parangtritis, Kec. Kretek, Kab. Bantul, Daerah Istimewa Yogyakarta 55772, Indonesia",-8.0221766,110.3311307,4.1,453
60,Alfamart,"Jl. A.M. Sangaji Kel No.59, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia",-7.7734384,110.3680326,3.6,93
61,Alfamart,"Jl.Wahid Hasyim Kel No.43/45, RT.43/RW.07, Notoprajan, Ngampilan, Yogyakarta City, Special Region of Yogyakarta 55262, Indonesia",-7.8034144,110.3564689,3.0,23
62,Alfamart,"Jl. Lempuyangan Kel No.1, Bausasran, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55211, Indonesia",-7.7902438,110.375805,4.7,3
63,Alfamart,"Jl. Ps. Kembang, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271, Indonesia",-7.789657000000001,110.3623589,0.0,0
64,Alfamart MOJO YOGYAKARTA,"Jl. Mojo No.12, RW.02, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55225, Indonesia",-7.790676500000001,110.3867169,4.6,16
65,Alfamart,"Jl. Colombo 13/30, Desa Kel No.Rt. 04, RW.02, Samirono, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.777801999999999,110.3855506,4.2,47
66,Alfamart Karangwaru,"JL Magelang no. 82, Yogyakarta, 55284, Kricak, Tegalrejo, Yogyakarta City, Special Region of Yogyakarta 55242, Indonesia",-7.777088300000001,110.3611697,3.0,2
67,Alfamart,"Jl. Ipda Tut Harsono No.Kel, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55221, Indonesia",-7.7879608,110.3946286,3.6,59
69,Alfamart,"Jl. Gedongkuning Kel No.60, RT.08/RW.03, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171, Indonesia",-7.8066185,110.4020429,3.9,197
70,Alfamart Abu Bakar Ali,"Jl. Abu Bakar Ali No.22, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224, Indonesia",-7.788105,110.3724894,4.8,66
72,Alfamart,"Jl. Parangtritis Kel No.29, RT.5/RW.2, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153, Indonesia",-7.8161493,110.3684082,3.4,63
73,Alfamart,"Jl. Pembela Tanah Air No.9, RW.001, Tegalrejo, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244, Indonesia",-7.79017,110.3548185,0.0,0
74,Alfamart DI Panjaitan,"59G6+RJ7, Jl. DI Panjaitan, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141, Indonesia",-7.822945300000001,110.3614886,3.2,84
75,Alfamart Munggur,"Jl. Munggur No.59-61, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222, Indonesia",-7.784923999999999,110.3882266,3.6,17
76,Alfamart,"Glagahsari St Kel No.111, Warungboto, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55164, Indonesia",-7.8106846,110.3872762,3.6,70
77,Alfamart,"Jl. Nologaten Rt. 03 Rw. 01, Dsn, Kel, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.782807999999999,110.3995226,3.4,36
78,Alfamart Demangan Baru,"69FV+V9R, Mrican, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55281, Indonesia",-7.7752501,110.3933778,4.8,39
79,Alfamart,"Jl. Brigjen Katamso No.67, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121, Indonesia",-7.8050868,110.3694562,4.4,10
